State,Property_taxes,Sales_and_gross_receipts,Licenses,Income_taxes,Other_taxes,Federal_aid,State_funds,Federal_funds,2016_population
New York,NA,24790017 ,1794987 ,50690443 ,4078516 ,48168577 ,101232 ,49476 ,19745289 
Connecticut,NA,6149782 ,455454 ,8276620 ,363091 ,6349942 ,24964 ,6122 ,3576452 
New Jersey,4638 ,13173332 ,1499889 ,15585479 ,1283382 ,15438821 ,42398 ,17440 ,8944469 
Pennsylvania,43124 ,19284374 ,2159170 ,14388463 ,1519458 ,21647328 ,50858 ,27153 ,12784227 
New Hampshire,406394 ,982832 ,329549 ,788210 ,134961 ,1658713 ,3623 ,2162 ,1334795 
Maine,35425 ,2077913 ,272253 ,1689129 ,55522 ,2997132 ,5519 ,2536 ,1331479 
Massachusetts,5818 ,8683866 ,1122219 ,16764223 ,706879 ,13658836 ,50652 ,9751 ,6811779 
Vermont,1056323 ,1031257 ,117328 ,828322 ,52635 ,1938148 ,3546 ,2016 ,624594 
Rhode Island,2544 ,1665438 ,120936 ,1380463 ,96346 ,2468471 ,6597 ,3065 ,1056426 
United States,18364298 ,442909995 ,52164396 ,392286910 ,24538146 ,NA,NA,NA,322762018 
